Respondents,Response Date,Responses,Bucket
414,Aug 28 2018 12:13 AM,100,$100 to $199
420,Aug 28 2018 12:12 AM,100,$100 to $199
466,Aug 28 2018 12:09 AM,100,$100 to $199
469,Aug 28 2018 12:09 AM,100,$100 to $199
472,Aug 28 2018 12:09 AM,100,$100 to $199
96,Aug 28 2018 03:06 AM,80,$50 to $99
103,Aug 28 2018 02:43 AM,70,$50 to $99
147,Aug 28 2018 01:28 AM,60,$50 to $99
403,Aug 28 2018 12:14 AM,60,$50 to $99
345,Aug 28 2018 12:19 AM,55,$50 to $99
36,Aug 28 2018 06:31 AM,50,$50 to $99
50,Aug 28 2018 05:56 AM,50,$50 to $99
126,Aug 28 2018 01:56 AM,50,$50 to $99
187,Aug 28 2018 12:52 AM,50,$50 to $99
254,Aug 28 2018 12:26 AM,50,$50 to $99
292,Aug 28 2018 12:23 AM,50,$50 to $99
293,Aug 28 2018 12:23 AM,50,$50 to $99
295,Aug 28 2018 12:23 AM,50,$50 to $99
316,Aug 28 2018 12:21 AM,50,$50 to $99
328,Aug 28 2018 12:20 AM,50,$50 to $99
331,Aug 28 2018 12:20 AM,50,$50 to $99
366,Aug 28 2018 12:17 AM,50,$50 to $99
424,Aug 28 2018 12:12 AM,50,$50 to $99
431,Aug 28 2018 12:11 AM,50,$50 to $99
437,Aug 28 2018 12:11 AM,50,$50 to $99
444,Aug 28 2018 12:10 AM,50,$50 to $99
455,Aug 28 2018 12:10 AM,50,$50 to $99
239,Aug 28 2018 12:27 AM,45,$10 to $49
392,Aug 28 2018 12:15 AM,45,$10 to $49
82,Aug 28 2018 03:40 AM,40,$10 to $49
261,Aug 28 2018 12:25 AM,40,$10 to $49
336,Aug 28 2018 12:19 AM,40,$10 to $49
413,Aug 28 2018 12:13 AM,40,$10 to $49
433,Aug 28 2018 12:11 AM,40,$10 to $49
460,Aug 28 2018 12:09 AM,40,$10 to $49
22,Aug 28 2018 06:59 AM,30,$10 to $49
199,Aug 28 2018 12:47 AM,30,$10 to $49
338,Aug 28 2018 12:19 AM,30,$10 to $49
358,Aug 28 2018 12:18 AM,30,$10 to $49
470,Aug 28 2018 12:09 AM,30,$10 to $49
286,Aug 28 2018 12:23 AM,25,$10 to $49
91,Aug 28 2018 03:22 AM,20,$10 to $49
135,Aug 28 2018 01:40 AM,20,$10 to $49
165,Aug 28 2018 01:13 AM,20,$10 to $49
227,Aug 28 2018 12:29 AM,20,$10 to $49
262,Aug 28 2018 12:25 AM,20,$10 to $49
268,Aug 28 2018 12:25 AM,20,$10 to $49
434,Aug 28 2018 12:11 AM,20,$10 to $49
443,Aug 28 2018 12:10 AM,20,$10 to $49
155,Aug 28 2018 01:23 AM,15,$10 to $49
400,Aug 28 2018 12:14 AM,15,$10 to $49
12,Aug 28 2018 07:10 AM,10,$10 to $49
20,Aug 28 2018 07:01 AM,10,$10 to $49
92,Aug 28 2018 03:14 AM,10,$10 to $49
145,Aug 28 2018 01:30 AM,10,$10 to $49
246,Aug 28 2018 12:26 AM,10,$10 to $49
258,Aug 28 2018 12:26 AM,10,$10 to $49
266,Aug 28 2018 12:25 AM,10,$10 to $49
327,Aug 28 2018 12:20 AM,10,$10 to $49
352,Aug 28 2018 12:18 AM,10,$10 to $49
476,Aug 28 2018 12:09 AM,10,$10 to $49
477,Aug 28 2018 12:09 AM,10,$10 to $49
153,Aug 28 2018 01:24 AM,5,Less than $10
75,Aug 28 2018 04:09 AM,5,Less than $10
357,Aug 28 2018 12:18 AM,5,Less than $10
364,Aug 28 2018 12:17 AM,5,Less than $10
379,Aug 28 2018 12:16 AM,5,Less than $10
415,Aug 28 2018 12:13 AM,5,Less than $10
419,Aug 28 2018 12:13 AM,5,Less than $10
457,Aug 28 2018 12:10 AM,5,Less than $10
389,Aug 28 2018 12:15 AM,4,Less than $10
459,Aug 28 2018 12:10 AM,4,Less than $10
312,Aug 28 2018 12:21 AM,2,Less than $10
464,Aug 28 2018 12:09 AM,2,Less than $10
369,Aug 28 2018 12:17 AM,1,Less than $10
1,Aug 28 2018 07:29 AM,0,Less than $10
2,Aug 28 2018 07:28 AM,0,Less than $10
5,Aug 28 2018 07:20 AM,0,Less than $10
7,Aug 28 2018 07:17 AM,0,Less than $10
9,Aug 28 2018 07:13 AM,0,Less than $10
10,Aug 28 2018 07:12 AM,0,Less than $10
11,Aug 28 2018 07:11 AM,0,Less than $10
13,Aug 28 2018 07:09 AM,0,Less than $10
15,Aug 28 2018 07:06 AM,0,Less than $10
16,Aug 28 2018 07:05 AM,0,Less than $10
18,Aug 28 2018 07:02 AM,0,Less than $10
21,Aug 28 2018 06:59 AM,0,Less than $10
23,Aug 28 2018 06:57 AM,0,Less than $10
24,Aug 28 2018 06:57 AM,0,Less than $10
25,Aug 28 2018 06:56 AM,0,Less than $10
26,Aug 28 2018 06:54 AM,0,Less than $10
27,Aug 28 2018 06:53 AM,0,Less than $10
29,Aug 28 2018 06:45 AM,0,Less than $10
30,Aug 28 2018 06:44 AM,0,Less than $10
31,Aug 28 2018 06:42 AM,0,Less than $10
32,Aug 28 2018 06:37 AM,0,Less than $10
34,Aug 28 2018 06:36 AM,0,Less than $10
35,Aug 28 2018 06:31 AM,0,Less than $10
37,Aug 28 2018 06:31 AM,0,Less than $10
38,Aug 28 2018 06:27 AM,0,Less than $10
40,Aug 28 2018 06:23 AM,0,Less than $10
41,Aug 28 2018 06:19 AM,0,Less than $10
